B,Cu,EC,Fe,Feature_ID,K,Mn,N,OC,P,S,Scan_Lat,Scan_Lon,Zn,pH,village
0.39,1.42,0.15,1.43,29_524_shc_2024-25.2061,90.0,4.2,120.0,0.21,19.0,12.5,16.161999999999974,75.29599999999927,0.38,7.6,Hosakoti
1.09,0.54,0.25,2.97,29_524_shc_2024-25.11310,213.0,4.34,280.0,0.49,16.0,16.5,16.161999999999974,75.81599999999806,0.31,7.8,Benakatti
0.71,0.3,0.13,0.82,29_524_shc_2024-25.3767,230.0,1.82,229.0,0.4,38.0,12.2,16.161999999999974,75.89999999999786,0.16,8.2,Choudapur
0.54,0.48,0.1,0.95,29_524_shc_2024-25.2492,236.0,2.59,201.0,0.35,26.0,11.0,16.161999999999974,75.90199999999786,0.2,7.3,Choudapur
0.64,0.39,0.1,0.8,29_524_shc_2024-25.2985,264.0,1.72,155.0,0.27,23.0,11.5,16.161999999999974,75.90199999999786,0.23,7.8,Choudapur
0.3,0.19,0.14,0.45,29_524_shc_2024-25.1241,180.0,2.9,326.0,0.57,30.0,9.75,16.161999999999974,76.0519999999975,0.23,7.5,Iddalgi
0.39,0.38,0.12,0.92,29_524_shc_2024-25.8202,157.0,3.29,286.0,0.5,36.0,17.7,16.161999999999974,76.0519999999975,0.22,7.3,Iddalgi
0.19,0.24,0.11,0.84,29_524_shc_2024-25.8204,135.0,3.2,332.0,0.58,96.0,12.7,16.161999999999974,76.0519999999975,0.44,7.0,Iddalgi
0.79,0.37,0.21,0.63,29_524_shc_2024-25.17637,382.0,3.89,218.0,0.38,13.0,22.2,16.163999999999973,75.33599999999917,0.26,7.1,Laxanatti
0.74,0.76,0.15,1.68,29_524_shc_2024-25.15437,315.0,4.77,309.0,0.54,16.0,10.5,16.163999999999973,75.74399999999822,0.89,7.7,Honnakatti
0.24,0.37,0.16,0.92,29_524_shc_2024-25.18536,146.0,1.19,235.0,0.41,11.0,43.5,16.163999999999973,75.55199999999867,0.13,8.2,Tulasigeri
0.35,0.49,0.3,6.33,29_524_shc_2024-25.15167,353.0,5.3,354.0,0.62,21.0,8.5,16.163999999999973,75.78399999999813,0.3,8.38,Mannikatti
0.33,0.54,0.6,0.94,29_524_shc_2024-25.3309,172.0,4.5,252.0,0.44,24.0,19.2,16.163999999999973,75.86399999999794,0.2,8.3,Bhairamatti
0.18,0.57,0.12,1.35,29_524_shc_2024-25.18824,171.0,4.45,149.0,0.26,115.0,21.7,16.163999999999973,75.86399999999794,0.25,7.7,Bhairamatti
0.48,0.29,0.34,0.48,29_524_shc_2024-25.10137,225.0,2.76,355.0,0.62,14.0,88.2,16.165999999999972,75.38599999999906,0.39,8.1,Lokapur
0.54,0.27,0.28,0.77,29_524_shc_2024-25.10205,157.0,1.85,166.0,0.29,13.0,17.2,16.165999999999972,75.5839999999986,0.16,7.8,Simikeri
0.57,0.41,0.17,0.92,29_524_shc_2024-25.16447,135.0,2.26,166.0,0.29,13.0,42.5,16.165999999999972,75.5839999999986,0.11,7.9,Simikeri
0.43,0.25,0.75,0.85,29_524_shc_2024-25.17700,101.0,2.11,350.0,0.61,12.0,20.2,16.165999999999972,75.5839999999986,0.11,7.6,Simikeri
0.36,0.53,0.21,0.6,29_524_shc_2024-25.18652,202.0,1.1,224.0,0.39,16.0,24.0,16.165999999999972,75.5839999999986,0.11,8.2,Simikeri
1.16,0.91,0.13,2.28,29_524_shc_2024-25.4520,202.0,6.6,407.0,0.71,44.0,20.2,16.165999999999972,75.74799999999821,1.84,7.6,Honnakatti
0.41,0.42,0.08,0.82,29_524_shc_2024-25.1899,131.0,4.16,223.0,0.39,42.0,15.7,16.165999999999972,75.85799999999796,0.46,7.5,Bhairamatti
1.26,1.26,0.22,2.71,29_524_shc_2024-25.16889,213.0,4.2,206.0,0.36,11.0,44.0,16.165999999999972,76.04799999999751,0.37,7.6,Bisanalkoppa
0.58,0.23,0.11,0.36,29_524_shc_2024-25.17545,90.0,2.88,263.0,0.46,28.0,16.0,16.165999999999972,76.04799999999751,0.36,7.3,Bisanalkoppa
0.69,0.35,0.14,0.7,29_524_shc_2024-25.2008,148.0,1.75,178.0,0.3,31.0,13.5,16.165999999999972,75.89999999999786,0.16,7.9,Choudapur
0.46,0.25,0.14,0.65,29_524_shc_2024-25.2567,147.0,1.53,407.0,0.71,26.0,15.0,16.165999999999972,75.89999999999786,0.19,7.4,Choudapur
0.63,0.49,0.13,0.38,29_524_shc_2024-25.17500,180.0,3.47,161.0,0.28,22.0,6.0,16.165999999999972,76.0559999999975,0.38,7.5,Iddalgi
0.43,0.39,0.15,1.26,29_524_shc_2024-25.18760,180.0,1.97,201.0,0.35,11.0,17.5,16.16799999999997,75.46799999999887,0.36,7.4,Khajjidoni
0.93,0.93,0.16,3.44,29_524_shc_2024-25.10930,258.0,3.36,195.0,0.34,36.0,10.2,16.16799999999997,75.47799999999884,0.48,7.2,Kaladgi
0.64,0.48,0.15,2.93,29_524_shc_2024-25.10931,281.0,3.37,195.0,0.34,35.0,7.25,16.16799999999997,75.47799999999884,0.63,7.5,Kaladgi
0.57,0.35,0.18,0.78,29_524_shc_2024-25.1983,141.0,3.32,172.0,0.3,24.0,30.5,16.16799999999997,75.841999999998,0.24,7.9,Hallur
0.32,0.34,0.15,0.8,29_524_shc_2024-25.3614,161.0,3.03,229.0,0.4,12.0,26.2,16.16799999999997,75.841999999998,0.19,8.1,Hallur
0.59,0.36,0.19,1.03,29_524_shc_2024-25.2971,208.0,1.96,224.0,0.39,49.0,17.7,16.16799999999997,75.89999999999786,0.22,8.3,Choudapur
0.82,0.46,0.17,1.09,29_524_shc_2024-25.3004,132.0,2.51,155.0,0.27,20.0,21.7,16.16799999999997,75.89999999999786,0.19,8.5,Choudapur
0.66,0.37,0.08,1.17,29_524_shc_2024-25.3748,131.0,1.43,515.0,0.9,22.0,11.5,16.16799999999997,75.89999999999786,0.51,5.8,Choudapur
0.71,0.27,0.08,0.92,29_524_shc_2024-25.2058,98.0,3.16,378.0,0.66,29.0,10.2,16.16799999999997,75.89799999999786,0.3,5.9,Choudapur
0.54,0.33,0.16,1.54,29_524_shc_2024-25.3992,270.0,2.47,212.0,0.37,38.0,9.5,16.16999999999997,75.4939999999988,0.55,8.0,Kaladgi
0.71,0.55,0.19,1.68,29_524_shc_2024-25.3996,225.0,3.45,177.0,0.31,44.0,17.0,16.16999999999997,75.4939999999988,0.42,7.8,Kaladgi
0.68,0.47,0.15,1.77,29_524_shc_2024-25.10874,247.0,3.48,218.0,0.38,43.0,13.7,16.16999999999997,75.4939999999988,0.39,8.2,Kaladgi
0.45,0.48,0.35,5.9,29_524_shc_2024-25.14872,303.0,2.9,339.0,0.59,17.0,9.28,16.16999999999997,75.76999999999816,0.28,8.33,Kirasur
0.38,0.45,0.35,6.3,29_524_shc_2024-25.15097,308.0,3.6,352.0,0.61,22.0,9.21,16.16999999999997,75.76999999999816,0.23,8.11,Kirasur
0.45,0.48,0.35,6.32,29_524_shc_2024-25.15099,347.0,5.0,337.0,0.59,24.0,7.91,16.16999999999997,75.76999999999816,0.28,8.34,Kirasur
0.34,0.52,0.38,6.06,29_524_shc_2024-25.15100,300.0,4.9,353.0,0.62,20.0,7.82,16.16999999999997,75.76999999999816,0.28,8.33,Kirasur
0.49,0.23,0.14,1.12,29_524_shc_2024-25.19376,295.0,1.57,189.0,0.33,28.0,96.0,16.16999999999997,75.839999999998,0.1,7.8,Hallur
0.55,0.39,0.09,0.75,29_524_shc_2024-25.232,153.0,1.2,143.0,0.25,31.0,8.75,16.17199999999997,75.88999999999788,0.44,7.1,Choudapur
0.41,0.28,0.09,0.74,29_524_shc_2024-25.2038,156.0,3.5,201.0,0.35,28.0,14.5,16.17199999999997,75.88999999999788,0.2,7.6,Choudapur
0.38,0.41,0.08,0.87,29_524_shc_2024-25.2992,112.0,2.03,212.0,0.37,41.0,14.5,16.17199999999997,75.88999999999788,0.26,7.4,Choudapur
0.29,0.4,0.13,1.37,29_524_shc_2024-25.1882,158.0,2.09,252.0,0.44,52.0,25.0,16.173999999999968,75.85599999999796,0.26,7.9,Bhairamatti
0.36,0.38,0.23,0.94,29_524_shc_2024-25.1887,196.0,2.02,241.0,0.42,30.0,16.2,16.173999999999968,75.85599999999796,0.21,7.8,Bhairamatti
0.31,0.45,0.19,1.03,29_524_shc_2024-25.3604,81.0,2.24,275.0,0.48,35.0,15.0,16.173999999999968,75.85599999999796,0.4,7.7,Bhairamatti
0.41,0.5,0.27,6.44,29_524_shc_2024-25.19287,323.0,4.7,332.0,0.58,16.0,8.63,16.173999999999968,75.85599999999796,0.35,8.17,Bhairamatti
0.5,0.25,0.26,0.55,29_524_shc_2024-25.3659,146.0,1.19,102.0,0.17,28.0,5.25,16.173999999999968,75.85199999999797,0.12,7.8,Bhairamatti
0.88,0.54,0.2,1.87,29_524_shc_2024-25.11320,213.0,2.97,252.0,0.44,6.0,12.2,16.173999999999968,75.76399999999818,0.48,8.1,Kirasur
1.05,0.47,0.09,0.94,29_524_shc_2024-25.2969,140.0,2.17,195.0,0.34,27.0,6.25,16.173999999999968,75.88599999999789,0.17,7.6,Choudapur
0.58,0.32,0.08,0.71,29_524_shc_2024-25.2485,102.0,2.12,189.0,0.33,17.0,12.5,16.173999999999968,75.88799999999789,0.21,7.2,Choudapur
0.24,0.18,0.11,0.37,29_524_shc_2024-25.2958,212.0,0.76,172.0,0.3,21.0,16.0,16.173999999999968,75.88799999999789,0.15,7.3,Choudapur
0.47,0.41,0.14,0.86,29_524_shc_2024-25.10385,315.0,2.17,183.0,0.32,34.0,27.0,16.175999999999966,75.48199999999883,0.16,8.4,Kaladgi
0.32,0.32,0.13,0.64,29_524_shc_2024-25.10386,262.0,2.22,189.0,0.33,30.0,26.0,16.175999999999966,75.48199999999883,0.2,8.5,Kaladgi
0.68,0.64,0.11,0.97,29_524_shc_2024-25.2018,233.0,1.86,143.0,0.25,21.0,18.2,16.175999999999966,75.88999999999788,0.45,7.3,Choudapur
0.63,0.42,0.15,0.96,29_524_shc_2024-25.13877,218.0,2.58,178.0,0.31,28.0,30.2,16.177999999999965,75.47999999999884,0.24,8.1,Kaladgi
0.84,0.84,0.14,1.86,29_524_shc_2024-25.10959,236.0,4.18,366.0,0.64,19.0,4.5,16.177999999999965,75.5799999999986,0.55,7.5,Simikeri
0.93,0.92,0.14,1.24,29_524_shc_2024-25.15790,258.0,3.77,389.0,0.68,26.0,10.2,16.177999999999965,75.5799999999986,0.6,8.5,Simikeri
0.35,0.49,0.35,6.25,29_524_shc_2024-25.15063,316.0,2.3,340.0,0.59,20.0,8.95,16.177999999999965,75.75999999999819,0.26,8.32,Kirasur
7.9,0.5,0.35,6.4,29_524_shc_2024-25.15064,306.0,4.4,341.0,0.6,16.0,8.22,16.177999999999965,75.75999999999819,0.32,7.8,Kirasur
0.38,0.46,0.29,5.79,29_524_shc_2024-25.15132,350.0,3.0,349.0,0.61,19.0,8.6,16.177999999999965,75.75999999999819,0.24,8.25,Kirasur
0.37,0.43,0.39,5.59,29_524_shc_2024-25.15165,361.0,3.4,348.0,0.28,19.0,7.71,16.177999999999965,75.75999999999819,5.59,8.32,Kirasur
0.41,0.5,0.43,6.05,29_524_shc_2024-25.15192,316.0,3.6,346.0,0.61,24.0,9.19,16.177999999999965,75.75999999999819,0.23,8.16,Kirasur
0.33,0.51,0.33,6.42,29_524_shc_2024-25.15195,330.0,3.9,345.0,0.6,22.0,7.77,16.177999999999965,75.75999999999819,0.32,8.23,Kirasur
0.4,0.51,0.27,6.16,29_524_shc_2024-25.15196,298.0,3.3,349.0,0.61,16.0,8.95,16.177999999999965,75.75999999999819,0.25,8.09,Kirasur
0.78,0.55,0.13,0.68,29_524_shc_2024-25.5116,258.0,3.89,321.0,0.56,19.0,11.0,16.177999999999965,75.82999999999802,0.68,7.3,Hallur
0.89,0.68,0.34,0.58,29_524_shc_2024-25.11257,326.0,4.26,321.0,0.56,21.0,11.5,16.177999999999965,75.82999999999802,0.73,7.6,Hallur
0.77,0.48,0.09,0.85,29_524_shc_2024-25.1883,371.0,2.2,258.0,0.45,62.0,20.0,16.177999999999965,75.87799999999791,0.22,7.0,Choudapur
0.37,0.64,0.15,1.96,29_524_shc_2024-25.10960,191.0,3.34,389.0,0.68,34.0,9.25,16.179999999999964,75.57799999999861,0.57,7.8,Simikeri
1.78,0.65,0.23,2.51,29_524_shc_2024-25.4007,101.0,2.68,258.0,0.45,26.0,29.2,16.179999999999964,75.49199999999881,0.16,8.3,Kaladgi
0.69,0.54,0.23,1.48,29_524_shc_2024-25.10884,236.0,4.0,252.0,0.44,28.0,32.7,16.179999999999964,75.49199999999881,0.47,8.4,Kaladgi
0.2,0.35,0.17,0.73,29_524_shc_2024-25.182,131.0,4.06,212.0,0.37,41.0,14.7,16.179999999999964,75.86799999999793,0.14,7.7,Bhairamatti
0.7,0.69,0.14,3.97,29_524_shc_2024-25.5117,180.0,7.59,344.0,0.6,12.0,10.5,16.179999999999964,75.83199999999802,0.7,7.1,Hallur
0.88,0.38,0.14,0.68,29_524_shc_2024-25.5118,213.0,4.71,332.0,0.58,26.0,10.2,16.179999999999964,75.83199999999802,0.61,7.2,Hallur
0.71,0.67,0.25,0.86,29_524_shc_2024-25.11200,191.0,5.58,321.0,0.56,26.0,11.5,16.179999999999964,75.83199999999802,0.55,7.7,Hallur
0.87,0.47,0.14,0.73,29_524_shc_2024-25.11304,180.0,5.26,292.0,0.51,25.0,12.0,16.179999999999964,75.83199999999802,0.7,7.4,Hallur
0.43,0.41,0.2,0.87,29_524_shc_2024-25.3291,175.0,2.63,281.0,0.49,29.0,15.7,16.179999999999964,75.86999999999793,0.2,7.7,Bhairamatti
0.52,0.98,0.11,0.56,29_524_shc_2024-25.17870,90.0,2.26,178.0,0.31,26.0,15.7,16.179999999999964,76.01599999999759,0.47,7.4,Huvanur
0.44,0.48,0.2,1.41,29_524_shc_2024-25.2316,141.0,6.1,206.0,0.36,38.0,20.0,16.179999999999964,75.86599999999794,0.19,7.4,Bhairamatti
1.09,0.96,0.18,1.86,29_524_shc_2024-25.15712,135.0,1.87,366.0,0.64,7.0,17.2,16.181999999999963,75.30999999999923,0.76,7.6,Kanasageri
0.57,0.72,0.5,0.7,29_524_shc_2024-25.10224,371.0,2.62,183.0,0.32,23.0,43.7,16.183999999999962,75.3219999999992,0.55,7.7,Kanasageri
0.46,0.55,0.48,0.46,29_524_shc_2024-25.16287,259.0,3.6,229.0,0.4,18.0,45.5,16.183999999999962,75.3219999999992,0.43,7.2,Kanasageri
0.9,1.53,0.25,3.53,29_524_shc_2024-25.12207,337.5,9.21,401.28,0.7,29.39,51.5,16.183999999999962,75.6259999999985,0.54,8.0,Siddapur
0.9,1.53,0.26,4.39,29_524_shc_2024-25.14705,315.0,6.27,475.8,0.83,26.66,43.5,16.183999999999962,75.6259999999985,0.84,7.8,Siddapur
1.05,1.68,0.3,4.1,29_524_shc_2024-25.14706,292.5,5.93,544.59,0.95,25.57,57.75,16.183999999999962,75.6259999999985,0.45,8.0,Siddapur
0.44,0.51,0.28,5.41,29_524_shc_2024-25.15191,308.0,4.2,346.0,0.61,13.0,8.94,16.183999999999962,75.75799999999819,0.35,8.03,Kirasur
0.69,0.4,0.24,0.53,29_524_shc_2024-25.2771,258.0,1.05,315.0,0.55,29.0,25.0,16.18599999999996,75.3219999999992,0.33,8.2,Kanasageri
0.64,0.62,0.42,0.24,29_524_shc_2024-25.3733,214.0,3.37,310.0,0.54,22.0,51.0,16.18599999999996,75.3219999999992,0.6,8.1,Kanasageri
0.91,0.58,0.25,0.57,29_524_shc_2024-25.3976,146.0,1.56,229.0,0.4,55.0,18.0,16.18599999999996,75.3219999999992,0.29,7.6,Kanasageri
1.47,0.48,0.12,1.06,29_524_shc_2024-25.7361,191.0,4.0,252.0,0.44,13.0,21.0,16.18599999999996,75.31399999999923,0.47,7.3,Kanasageri
0.85,1.33,0.1,1.54,29_524_shc_2024-25.12569,191.0,3.5,332.0,0.58,16.0,22.5,16.18599999999996,75.31399999999923,0.71,7.6,Kanasageri
1.66,0.8,0.13,1.86,29_524_shc_2024-25.15723,315.0,3.93,212.0,0.32,11.0,22.7,16.18599999999996,75.31399999999923,0.33,7.7,Kanasageri
0.75,0.84,3.88,2.51,29_524_shc_2024-25.14815,146.0,3.9,246.0,0.43,17.0,30.5,16.18599999999996,75.88799999999789,0.65,7.9,Bevoor
0.7,1.27,0.24,1.09,29_524_shc_2024-25.3258,258.0,2.5,195.0,0.34,30.0,24.2,16.18799999999996,75.31199999999923,0.47,7.8,Kanasageri
0.75,0.53,0.38,0.5,29_524_shc_2024-25.1977,236.0,3.97,114.0,0.2,34.0,38.0,16.18799999999996,75.31399999999923,0.35,8.1,Kanasageri
0.52,0.88,0.33,0.8,29_524_shc_2024-25.3409,303.0,4.65,252.0,0.44,29.0,32.5,16.18799999999996,75.31399999999923,0.35,8.0,Kanasageri
0.56,0.58,0.4,0.54,29_524_shc_2024-25.3410,315.0,4.47,120.0,0.21,32.0,48.5,16.18799999999996,75.31399999999923,0.33,8.1,Kanasageri
0.93,0.58,0.39,0.48,29_524_shc_2024-25.3633,303.0,3.95,143.0,0.25,24.0,53.0,16.18799999999996,75.31399999999923,0.36,7.7,Kanasageri
0.55,0.77,0.48,0.6,29_524_shc_2024-25.3786,483.0,4.92,240.0,0.42,36.0,54.0,16.18799999999996,75.31399999999923,0.41,7.2,Kanasageri
0.39,0.69,0.43,0.58,29_524_shc_2024-25.2032,405.0,3.48,257.0,0.45,50.0,50.0,16.18799999999996,75.3239999999992,0.34,7.8,Kanasageri
0.67,0.23,0.13,0.65,29_524_shc_2024-25.4075,195.0,2.2,332.0,0.58,20.0,21.2,16.18799999999996,75.60399999999855,0.31,7.6,Yadahalli
0.72,0.36,0.19,0.91,29_524_shc_2024-25.4125,247.0,2.15,372.0,0.65,18.0,19.5,16.18799999999996,75.60399999999855,0.15,8.3,Yadahalli
0.3,0.3,0.17,0.84,29_524_shc_2024-25.1661,146.0,1.38,286.0,0.5,39.0,19.0,16.18799999999996,75.51599999999875,0.15,8.3,Govindkopp
0.26,0.21,0.15,0.81,29_524_shc_2024-25.10307,157.0,2.04,212.0,0.37,26.0,18.7,16.18799999999996,75.51599999999875,0.11,7.6,Govindkopp
0.34,0.31,0.15,0.84,29_524_shc_2024-25.4124,270.0,2.05,412.0,0.72,33.0,12.5,16.18799999999996,75.60599999999855,0.51,7.7,Yadahalli
0.66,0.22,0.15,0.71,29_524_shc_2024-25.4126,292.0,3.04,378.0,0.66,24.0,11.2,16.18799999999996,75.60599999999855,0.49,8.3,Yadahalli
0.55,0.31,0.12,0.67,29_524_shc_2024-25.4149,258.0,3.62,355.0,0.62,18.0,7.25,16.18799999999996,75.60599999999855,0.31,7.7,Yadahalli
0.62,0.17,0.1,0.58,29_524_shc_2024-25.4150,211.0,3.22,401.0,0.7,35.0,10.5,16.18799999999996,75.60599999999855,0.16,8.0,Yadahalli
1.83,0.71,0.22,2.86,29_524_shc_2024-25.4019,157.0,2.3,252.0,0.44,11.0,14.5,16.18799999999996,75.6259999999985,0.28,8.4,Gaddankeri
0.8,0.55,0.2,1.55,29_524_shc_2024-25.10951,214.0,3.2,366.0,0.64,17.0,16.0,16.18799999999996,75.6259999999985,0.71,8.5,Gaddankeri
0.9,0.93,0.15,0.76,29_524_shc_2024-25.9808,56.0,3.29,235.0,0.41,38.0,18.5,16.18799999999996,76.01999999999758,0.44,8.4,Varagodadinni
0.51,0.46,0.15,0.48,29_524_shc_2024-25.10361,67.0,3.0,218.0,0.38,16.0,16.5,16.18799999999996,76.01999999999758,0.34,7.3,Varagodadinni
0.48,0.57,0.12,0.57,29_524_shc_2024-25.16312,79.0,2.77,218.0,0.38,43.0,14.7,16.18799999999996,76.01999999999758,0.28,8.1,Varagodadinni
0.43,0.46,0.47,0.46,29_524_shc_2024-25.15484,270.0,3.76,240.0,0.42,17.0,25.5,16.18999999999996,75.31999999999921,0.54,8.0,Hebbal
0.39,0.7,0.52,0.67,29_524_shc_2024-25.2486,472.0,5.12,235.0,0.41,54.0,45.2,16.18999999999996,75.31799999999922,0.37,7.7,Kanasageri
0.48,0.74,0.44,0.6,29_524_shc_2024-25.3413,438.0,4.5,252.0,0.44,31.0,52.7,16.18999999999996,75.31799999999922,0.47,7.5,Kanasageri
0.94,0.57,0.2,1.73,29_524_shc_2024-25.10892,168.0,3.37,246.0,0.43,16.0,15.2,16.18999999999996,75.6259999999985,0.47,8.3,Gaddankeri
0.49,0.34,0.1,0.7,29_524_shc_2024-25.383,259.0,2.29,281.0,0.49,33.0,8.5,16.18999999999996,75.61399999999853,0.28,7.6,Anadinni
0.47,0.65,0.07,0.81,29_524_shc_2024-25.3717,270.0,2.16,252.0,0.44,34.0,23.5,16.18999999999996,75.61399999999853,0.19,7.4,Anadinni
0.51,0.69,0.38,0.93,29_524_shc_2024-25.660,304.0,0.97,321.0,0.56,24.0,7.25,16.18999999999996,75.65399999999843,0.29,8.3,Muranal
0.68,0.23,0.22,0.5,29_524_shc_2024-25.4720,270.0,2.04,281.0,0.49,60.0,3.25,16.18999999999996,75.65399999999843,0.16,8.0,Muranal
0.58,0.27,0.22,1.33,29_524_shc_2024-25.4949,281.0,2.09,241.0,0.42,21.0,4.5,16.18999999999996,75.65399999999843,0.16,7.6,Muranal
0.44,0.39,0.23,0.96,29_524_shc_2024-25.5595,213.0,2.09,235.0,0.41,12.0,21.2,16.18999999999996,75.59599999999857,0.23,8.0,Chebbi
1.44,0.76,0.22,3.46,29_524_shc_2024-25.4021,247.0,1.17,310.0,0.54,25.0,16.2,16.18999999999996,75.63199999999848,0.2,8.5,Gaddankeri
0.92,0.73,0.24,1.55,29_524_shc_2024-25.10888,146.0,1.88,292.0,0.51,16.0,15.2,16.18999999999996,75.63199999999848,0.36,8.7,Gaddankeri
1.55,1.68,0.18,0.48,29_524_shc_2024-25.10889,202.0,0.48,321.0,0.56,17.0,0.88,16.18999999999996,75.63199999999848,0.56,8.8,Gaddankeri
0.92,0.55,0.17,1.78,29_524_shc_2024-25.10890,191.0,1.68,332.0,0.58,10.0,15.5,16.18999999999996,75.63199999999848,0.55,9.0,Gaddankeri
0.46,0.4,0.22,0.95,29_524_shc_2024-25.1655,199.0,2.49,355.0,0.62,30.0,39.5,16.191999999999958,75.47799999999884,0.34,7.5,Kaladgi
0.34,0.32,0.15,1.11,29_524_shc_2024-25.18755,348.0,1.7,178.0,0.31,31.0,25.0,16.191999999999958,75.47799999999884,0.22,8.0,Kaladgi
0.73,0.35,0.28,0.97,29_524_shc_2024-25.5081,281.0,2.81,395.0,0.69,25.0,21.0,16.191999999999958,75.6699999999984,0.8,8.4,Veerapur
0.75,0.3,0.4,1.29,29_524_shc_2024-25.668,292.0,2.97,366.0,0.64,106.0,28.0,16.191999999999958,75.67199999999839,0.16,7.8,Veerapur
0.75,0.39,0.37,0.76,29_524_shc_2024-25.672,304.0,2.05,218.0,0.38,15.0,12.2,16.191999999999958,75.67199999999839,0.14,7.5,Veerapur
0.69,0.34,0.49,1.04,29_524_shc_2024-25.5011,262.0,2.1,224.0,0.39,48.0,19.5,16.191999999999958,75.67199999999839,0.13,8.1,Veerapur
0.99,0.42,0.11,0.78,29_524_shc_2024-25.372,304.0,2.52,206.0,0.36,24.0,13.2,16.191999999999958,75.61599999999852,0.12,7.7,Anadinni
0.37,0.5,0.21,0.8,29_524_shc_2024-25.2111,191.0,3.07,212.0,0.37,33.0,19.7,16.191999999999958,75.61599999999852,0.11,8.2,Anadinni
0.45,0.24,0.32,1.08,29_524_shc_2024-25.3106,135.0,1.98,252.0,0.44,56.0,36.0,16.191999999999958,75.61599999999852,0.11,7.5,Anadinni
0.43,0.39,0.1,0.65,29_524_shc_2024-25.3522,270.0,1.99,269.0,0.47,63.0,16.5,16.191999999999958,75.61599999999852,0.17,7.6,Anadinni
0.45,0.42,0.15,0.88,29_524_shc_2024-25.3867,180.0,2.29,252.0,0.44,60.0,10.7,16.191999999999958,75.61599999999852,0.11,7.2,Anadinni
0.54,0.23,0.22,0.73,29_524_shc_2024-25.18828,191.0,1.51,263.0,0.46,35.0,28.5,16.191999999999958,75.61599999999852,0.11,8.8,Anadinni
0.34,0.23,0.16,0.82,29_524_shc_2024-25.19387,180.0,1.68,137.0,0.24,14.0,30.5,16.191999999999958,75.61599999999852,0.15,8.8,Anadinni
0.52,0.34,0.17,1.14,29_524_shc_2024-25.10524,135.0,1.74,149.0,0.26,16.0,45.5,16.191999999999958,75.55199999999867,0.1,7.0,Tulasigeri
0.43,0.36,0.2,0.84,29_524_shc_2024-25.18098,123.0,1.68,172.0,0.3,5.0,41.0,16.191999999999958,75.55199999999867,0.1,7.7,Tulasigeri
1.08,0.76,0.16,4.05,29_524_shc_2024-25.10966,191.0,4.3,355.0,0.62,13.0,4.25,16.191999999999958,75.5799999999986,0.75,7.5,Tulasigeri
0.86,0.92,0.17,1.89,29_524_shc_2024-25.10967,214.0,2.87,368.0,0.64,31.0,9.0,16.191999999999958,75.5799999999986,0.48,7.5,Tulasigeri
0.58,0.73,0.17,2.89,29_524_shc_2024-25.10974,236.0,3.88,447.0,0.78,25.0,9.25,16.191999999999958,75.5799999999986,0.88,8.2,Tulasigeri
1.7,0.83,0.17,3.91,29_524_shc_2024-25.10981,202.0,5.09,412.0,0.72,38.0,6.75,16.191999999999958,75.5799999999986,0.85,7.9,Tulasigeri
0.68,0.48,0.19,3.0,29_524_shc_2024-25.10983,247.0,4.2,481.0,0.84,19.0,9.0,16.191999999999958,75.5819999999986,0.9,7.9,Chebbi
0.56,0.55,0.16,1.86,29_524_shc_2024-25.11163,202.0,3.26,396.0,0.69,26.0,13.2,16.191999999999958,75.5819999999986,0.7,8.1,Chebbi
0.43,0.44,0.4,5.63,29_524_shc_2024-25.12516,326.0,5.4,351.0,0.61,12.0,8.88,16.191999999999958,75.81399999999806,0.24,8.05,Bhagavati
0.39,0.45,0.43,5.31,29_524_shc_2024-25.15134,341.0,3.8,332.0,0.58,22.0,8.64,16.191999999999958,75.81399999999806,0.34,8.17,Bhagavati
1.09,1.34,0.54,4.18,29_524_shc_2024-25.1752,168.0,5.21,389.0,0.68,34.0,74.7,16.193999999999956,75.35799999999912,0.41,7.0,Hebbal
0.58,2.71,0.89,4.31,29_524_shc_2024-25.10183,168.0,5.9,332.0,0.58,24.0,79.0,16.193999999999956,75.35799999999912,0.47,8.1,Hebbal
0.61,0.21,0.15,0.68,29_524_shc_2024-25.18830,382.0,1.77,326.0,0.57,45.0,27.5,16.193999999999956,75.48999999999882,0.15,8.5,Kaladgi
0.62,0.38,0.11,1.03,29_524_shc_2024-25.9909,270.0,2.09,229.0,0.4,25.0,7.0,16.193999999999956,75.47999999999884,0.2,8.4,Kaladgi
0.6,0.7,0.21,0.83,29_524_shc_2024-25.16546,247.0,1.45,424.0,0.74,27.0,4.25,16.193999999999956,75.47999999999884,0.42,7.3,Kaladgi
0.43,0.35,0.17,0.94,29_524_shc_2024-25.16547,292.0,2.31,235.0,0.41,45.0,4.5,16.193999999999956,75.47999999999884,0.21,8.5,Kaladgi
0.77,0.43,0.18,1.03,29_524_shc_2024-25.18094,258.0,2.34,412.0,0.72,42.0,13.2,16.193999999999956,75.47999999999884,0.26,7.3,Kaladgi
0.48,0.22,0.43,1.03,29_524_shc_2024-25.4723,259.0,1.02,178.0,0.31,47.0,24.2,16.193999999999956,75.6659999999984,0.1,7.7,Veerapur
0.54,0.32,0.14,0.97,29_524_shc_2024-25.5008,236.0,2.06,241.0,0.42,12.0,24.5,16.193999999999956,75.6659999999984,0.14,7.7,Veerapur
